IntendedDistance_m,Location,average_depth_m
4,outdoor1stfloor,4.348692162078272
4,outdoor1stfloor,4.502710655202039
4,outdoor1stfloor,3.9145409845418224
4,outdoor1stfloor,4.307209129530737
4,outdoor1stfloor,4.535812560242648
4,outdoor1stfloor,4.673342037652706
4,outdoor1stfloor,4.119391020539259
4,outdoor1stfloor,4.331263747790825
4,outdoor1stfloor,4.705817255554788
4,outdoor1stfloor,4.184497007263571
4,outdoor1stfloor,4.251457766509044
4,outdoor1stfloor,4.346089728299996
4,outdoor1stfloor,4.1630196611731085
4,outdoor1stfloor,4.21987837302229
4,outdoor1stfloor,4.400661385490778
4,outdoor1stfloor,4.57570851183588
4,outdoor1stfloor,4.757272569971802
4,outdoor1stfloor,4.304513148878662
4,outdoor1stfloor,3.948040514815833
4,outdoor1stfloor,4.604757916170748
4,outdoor1stfloor,5.206300588582925
4,outdoor1stfloor,3.9816624698205647
4,outdoor1stfloor,4.434158262725687
4,outdoor1stfloor,4.1786349290134215
4,outdoor1stfloor,4.319241413104019
4,outdoor1stfloor,4.334182946979385
4,outdoor1stfloor,4.186104084634183
4,outdoor1stfloor,4.217420817321998
4,outdoor1stfloor,4.277685171675983
4,outdoor1stfloor,4.488932390476808
4,outdoor1stfloor,4.373569640047812
4,outdoor1stfloor,4.32842976564869
4,outdoor1stfloor,4.066845335294605
4,outdoor1stfloor,4.414278972741116
4,outdoor1stfloor,4.030217497866169
4,outdoor1stfloor,4.386517016623212
4,outdoor1stfloor,4.385952904150669
4,outdoor1stfloor,4.182649274165942
4,outdoor1stfloor,4.538642605456197
4,outdoor1stfloor,4.054535002706652
4,outdoor1stfloor,4.309008154319098
4,outdoor1stfloor,4.1029374514779375
4,outdoor1stfloor,4.215008647507066
4,outdoor1stfloor,4.903639121799238
4,outdoor1stfloor,4.408462764456815
4,outdoor1stfloor,4.563966521124593
4,outdoor1stfloor,4.487228635750961
4,outdoor1stfloor,4.362029607264739
4,outdoor1stfloor,4.346872131825813
4,outdoor1stfloor,4.3767994243412645
4,outdoor1stfloor,4.228152151545127
4,outdoor1stfloor,4.7579463079457405
4,outdoor1stfloor,4.556823492299561
4,outdoor1stfloor,4.133437910613472
4,outdoor1stfloor,4.077500193670858
4,outdoor1stfloor,4.03668186522004
4,outdoor1stfloor,4.466090462824282
4,outdoor1stfloor,4.217624696700306
4,outdoor1stfloor,4.546569290728644
4,outdoor1stfloor,4.607947294074656
4,outdoor1stfloor,4.212762604290718
4,outdoor1stfloor,4.358928292557897
4,outdoor1stfloor,3.776309030589152
4,outdoor1stfloor,4.171644740915345
4,outdoor1stfloor,4.152868094463814
4,outdoor1stfloor,4.140221935780415
4,outdoor1stfloor,4.083987362853154
4,outdoor1stfloor,4.323322477845532
4,outdoor1stfloor,4.197190234629198
4,outdoor1stfloor,4.167675641922119
4,outdoor1stfloor,4.625566546233223
4,outdoor1stfloor,3.91530135555747
4,outdoor1stfloor,4.52857069381896
4,outdoor1stfloor,4.059836819972867
4,outdoor1stfloor,4.308491409567593
4,outdoor1stfloor,4.432150871815457
4,outdoor1stfloor,4.206763117743647
4,outdoor1stfloor,4.391063111790103
4,outdoor1stfloor,4.1726324663926455
4,outdoor1stfloor,4.65029855217565
4,outdoor1stfloor,4.252716048987699
4,outdoor1stfloor,4.351072750745461
4,outdoor1stfloor,4.464555468119686
