Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,area
2025-04-08 19:57:13.246,398,110,26,611,479,0.95,226953
2025-04-08 19:57:13.419,399,100,22,603,479,0.96,229871
2025-04-08 19:57:13.592,400,92,19,594,479,0.95,230920
2025-04-08 19:57:13.766,401,79,31,580,479,0.96,224448
2025-04-08 19:57:13.938,402,72,36,568,479,0.96,219728
2025-04-08 19:57:14.111,403,75,41,561,479,0.96,212868
2025-04-08 19:57:14.285,404,75,42,558,479,0.96,211071
2025-04-08 19:57:14.456,405,74,45,552,479,0.96,207452
2025-04-08 19:57:14.630,406,75,47,549,479,0.96,204768
2025-04-08 19:57:14.803,407,78,50,547,479,0.96,201201
2025-04-08 19:57:14.976,408,80,54,544,479,0.96,197200
2025-04-08 19:57:15.150,409,81,59,542,479,0.96,193620
2025-04-08 19:57:15.323,410,77,59,538,479,0.96,193620
2025-04-08 19:57:15.494,411,76,59,538,479,0.96,194040
2025-04-08 19:57:15.667,412,75,58,538,479,0.96,194923
2025-04-08 19:57:15.842,413,76,56,540,479,0.96,196272
2025-04-08 19:57:16.016,414,76,56,541,479,0.96,196695
2025-04-08 19:57:16.188,415,76,58,541,479,0.96,195765
2025-04-08 19:57:16.359,416,78,59,541,479,0.96,194460
2025-04-08 19:57:16.533,417,80,60,543,479,0.96,193997
2025-04-08 19:57:16.707,418,80,58,544,479,0.96,195344
2025-04-08 19:57:16.879,419,81,59,544,479,0.96,194460
2025-04-08 19:57:17.052,420,82,55,545,479,0.96,196312
2025-04-08 19:57:17.224,421,81,54,545,479,0.96,197200
2025-04-08 19:57:17.398,422,81,54,544,479,0.96,196775
2025-04-08 19:57:17.571,423,81,54,544,479,0.96,196775
2025-04-08 19:57:17.746,424,81,54,544,479,0.96,196775
2025-04-08 19:57:17.915,425,81,55,544,479,0.96,196312
2025-04-08 19:57:18.090,426,77,56,542,479,0.96,196695
2025-04-08 19:57:18.265,427,73,56,539,479,0.96,197118
2025-04-08 19:57:18.440,428,71,59,535,479,0.96,194880
2025-04-08 19:57:18.610,429,69,59,533,479,0.96,194880
2025-04-08 19:57:18.782,430,71,58,533,479,0.96,194502
2025-04-08 19:57:18.955,431,70,55,534,479,0.96,196736
2025-04-08 19:57:19.129,432,72,53,536,479,0.96,197664
2025-04-08 19:57:19.304,433,76,53,541,479,0.96,198090
2025-04-08 19:57:19.473,434,84,56,549,479,0.96,196695
2025-04-08 19:57:19.647,435,95,57,558,479,0.96,195386
2025-04-08 19:57:19.819,436,106,55,568,479,0.96,195888
2025-04-08 19:57:19.993,437,115,57,577,479,0.95,194964
2025-04-08 19:57:20.168,438,125,59,585,479,0.96,193200
2025-04-08 19:57:20.341,439,131,60,593,479,0.96,193578
2025-04-08 19:57:20.512,440,134,61,595,479,0.96,192698
2025-04-08 19:57:20.684,441,135,62,594,479,0.96,191403
2025-04-08 19:57:20.859,442,136,62,594,479,0.96,190986
2025-04-08 19:57:21.032,443,137,61,594,479,0.96,191026
2025-04-08 19:57:21.204,444,139,60,595,479,0.96,191064
2025-04-08 19:57:21.377,445,139,60,595,479,0.96,191064
2025-04-08 19:57:21.550,446,138,59,595,479,0.96,191940
2025-04-08 19:57:21.724,447,138,59,595,479,0.96,191940
2025-04-08 19:57:21.896,448,137,59,596,479,0.96,192780
2025-04-08 19:57:22.070,449,138,59,596,479,0.96,192360
2025-04-08 19:57:22.243,450,137,58,597,479,0.96,193660
2025-04-08 19:57:22.416,451,136,57,597,479,0.96,194542
2025-04-08 19:57:22.588,452,136,58,597,479,0.96,194081
2025-04-08 19:57:22.762,453,136,57,597,479,0.96,194542
2025-04-08 19:57:22.934,454,126,57,598,479,0.96,199184
2025-04-08 19:57:23.108,455,117,60,597,479,0.95,201120
2025-04-08 19:57:23.283,456,122,56,596,479,0.96,200502
2025-04-08 19:57:23.459,457,118,57,596,479,0.95,201716
2025-04-08 19:57:23.628,458,118,57,595,479,0.95,201294
2025-04-08 19:57:23.800,459,116,56,595,479,0.95,202617
2025-04-08 19:57:23.976,460,113,56,594,479,0.95,203463
2025-04-08 19:57:24.145,461,111,54,594,479,0.95,205275
2025-04-08 19:57:24.320,462,110,54,594,479,0.95,205700
2025-04-08 19:57:24.491,463,110,55,594,479,0.95,205216
2025-04-08 19:57:24.665,464,109,57,594,479,0.95,204670
2025-04-08 19:57:24.840,465,107,55,594,479,0.95,206488
2025-04-08 19:57:25.010,466,111,52,594,479,0.95,206241
2025-04-08 19:57:25.186,467,108,46,593,479,0.95,210005
2025-04-08 19:57:25.374,468,101,43,591,479,0.96,213640
2025-04-08 19:57:25.582,469,97,36,590,479,0.96,218399
2025-04-08 19:57:25.752,470,98,34,590,479,0.96,218940
2025-04-08 19:57:25.965,471,97,32,590,479,0.96,220371
2025-04-08 19:57:26.144,472,96,33,588,479,0.96,219432
2025-04-08 19:57:26.315,473,98,35,588,479,0.96,217560
2025-04-08 19:57:26.482,474,98,34,588,479,0.96,218050
2025-04-08 19:57:26.656,475,99,39,587,479,0.96,214720
2025-04-08 19:57:26.829,476,111,44,587,479,0.95,207060
2025-04-08 19:57:27.009,477,127,50,588,479,0.95,197769
2025-04-08 19:57:27.173,478,129,55,591,479,0.95,195888
2025-04-08 19:57:27.348,479,133,60,592,479,0.95,192321
2025-04-08 19:57:27.520,480,137,64,595,479,0.95,190070
2025-04-08 19:57:27.695,481,140,64,597,479,0.95,189655
2025-04-08 19:57:27.867,482,142,63,598,479,0.95,189696
2025-04-08 19:57:28.040,483,145,61,600,479,0.95,190190
2025-04-08 19:57:28.213,484,143,65,598,479,0.95,188370
2025-04-08 19:57:28.385,485,144,65,598,479,0.95,187956
2025-04-08 19:57:28.562,486,144,67,598,479,0.95,187048
2025-04-08 19:57:28.731,487,144,69,598,479,0.95,186140
2025-04-08 19:57:28.905,488,146,69,598,479,0.95,185320
2025-04-08 19:57:29.082,489,144,70,601,479,0.95,186913
2025-04-08 19:57:29.252,490,136,65,602,479,0.96,192924
2025-04-08 19:57:29.428,491,133,61,602,479,0.96,196042
2025-04-08 19:57:29.605,492,133,64,602,479,0.96,194635
2025-04-08 19:57:29.777,493,132,64,600,479,0.95,194220
2025-04-08 19:57:29.954,494,129,63,598,479,0.95,195104
2025-04-08 19:57:30.124,495,128,64,598,479,0.95,195050
